"","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"1",0,0,1,1,1,1,1,1,0,1,4,4,4,4,3,2,3,3,3,4
"2",0,0,0,0,1,1,0,0,0,1,3,2,2,1,3,2,2,2,2,2
"3",1,0,1,1,1,1,1,0,0,1,3,4,2,4,4,4,3,3,3,3
"4",0,0,0,1,0,1,1,1,0,1,3,1,4,4,4,4,4,3,3,1
"5",1,0,0,0,0,0,0,0,0,0,3,2,4,2,3,2,2,1,2,3
"6",0,0,0,0,0,1,1,1,0,0,3,4,4,4,4,2,2,3,0,1
"7",1,0,1,0,0,1,0,0,0,0,2,3,2,3,4,2,3,4,4,3
"8",0,0,0,0,0,0,1,0,0,1,4,2,4,2,4,4,4,2,0,3
"9",1,1,1,0,0,1,1,1,0,1,3,4,4,4,4,3,2,3,2,3
"10",0,1,0,0,0,1,1,0,0,1,4,2,4,2,4,4,2,3,4,3
"11",0,0,0,0,0,1,1,0,0,0,1,1,4,2,1,2,0,2,2,1
"12",0,0,1,1,0,1,1,0,0,1,4,4,4,3,3,4,2,4,2,4
"13",0,0,1,1,1,1,1,0,0,1,4,4,4,4,4,4,2,3,4,1
"14",1,0,1,0,0,1,1,1,0,1,3,4,4,4,4,4,1,4,2,4
"15",0,0,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,1
"16",0,0,0,0,1,1,1,0,0,0,3,4,4,4,3,1,2,1,2,2
"17",1,0,0,0,1,1,1,0,0,0,3,2,2,3,4,2,3,2,1,1
"18",1,0,0,1,0,1,1,1,0,1,3,3,4,4,4,2,2,4,3,4
"19",0,0,0,0,1,1,1,0,0,1,4,4,4,3,3,3,0,1,3,2
"20",1,0,0,1,1,1,0,0,0,0,4,4,4,4,4,4,3,4,3,4
"21",1,0,0,1,1,0,1,0,0,1,3,3,2,4,4,4,3,1,3,1
"22",0,0,1,0,0,1,1,0,0,0,1,1,2,3,4,2,1,2,1,1
"23",0,0,0,0,0,1,1,0,0,1,3,2,4,3,3,3,2,2,3,0
"24",1,1,1,1,0,1,1,1,1,1,4,4,4,4,4,4,4,4,3,3
"25",1,0,1,0,1,1,1,1,0,1,1,4,4,3,4,4,3,3,4,4
